titulo,autor(es),editora,descrição
Harry Potter e o Cálice de Fogo,J. K. Rowling,Rocco,"Verão, Harry Potter, agora com 14 anos, sente sua cicatriz arder durante um sonho bastante real com Lord Voldemort, o qual não consegue esquecer; três dias depois, já em companhia da família Weasley, com quem foi passar o restante das férias, na final da Copa Mundial de Quadribol, os Comensais da Morte, seguidores de Você-Sabe-Quem, reaparecem e alguém conjura a Marca Negra – o sinal de Lord Voldemort – projetando-a no céu pela primeira vez em 13 anos, causando pânico na comunidade mágica. Será que o terrível bruxo está voltando? Tudo indica que sim...
 

O ano letivo já começa agitado. Harry volta para a Escola de Magia e Bruxaria de Hogwarts para cursar a quarta série. Acontecimentos inesperados – como, por exemplo, a presença de um novo professor de Defesa contra as Artes das Trevas e um evento extraordinário promovido na escola – alvoroçam os ânimos dos estudantes. Para surpresa de todos não haverá a tradicional Copa Anual de Quadribol entre Casas. Será substituída pelo Torneio Tribuxo, uma competição amistosa entre as três maiores escolas européias de bruxaria — Hogwarts, Beauxbatons e Durmstrang — que não se realizava havia um século. A competição é dividida em tarefas, cuja finalidade é testar a coragem, o poder de dedução, a perícia em magia e a capacidade de enfrentar o perigo dos campeões. Liderados pelo professor Dumbledore, os alunos de Hogwarts terão de demonstrar todas as habilidade mágicas e não-mágicas que vêm adquirindo ao longo de suas vidas.
 

Apesar de alunos menores de 17 anos não poderem se inscrever no Torneio, inexplicavelmente Harry é escolhido pelo Cálice de Fogo, um grande copo de madeira toscamente talhado cheio até a borda com chamas branco-azuladas, para competir como um dos campeões de Hogwarts. Tendo a seu lado os fiéis amigos Rony Weasley, Hermione Granger e agora também o seu padrinho, o bruxo Sirius Black, que fugiu de Azkaban no ano anterior, o menino feiticeiro tentará escapar mais uma vez das armadilhas de Lord Voldemort.
 

Além de todos os desafios, há feitiços a serem aprendidos, poções a serem preparadas e aulas de Adivinhação, entre outras, a serem assistidas, Harry terá que lidar ainda com os problemas comuns da adolescência: amor, amizade, aceitação e rejeição.
 

Harry Potter é o tipo de livro que fascina, encanta, surpreende e prende a atenção até o último segundo. Uma série recomendada para todas as idades.
"
Harry Potter e a Ordem da Fênix.doc,J. K. Rowling,Rocco,"Harry Potter chegou à adolescência. E, junto com as transformações desta época tão importante, vive seus dias mais sombrios na escola de magia de Hogwarts. Anunciado por sua própria autora, a escocesa J. K. Rowling, como o livro que inaugura a fase dark do personagem, Harry Potter e a Ordem da Fênix, quinto volume da saga do jovem bruxo,. saiu em junho na Inglaterra e nos Estados Unidos, provocando uma corrida dos jovens fãs do bruxinho às livrarias. A versão brasileira tem tradução de Lia Wyler, que precisou de muito talento e rapidez para traduzir as 704 páginas em tempo recorde: como havia um contrato de sigilo cercando Harry Potter e a Ordem da Fênix, Lia recebeu o livro junto com os leitores de língua inglesa e teve pouco mais de quatro meses para concluir a tarefa.
 

O quinto volume da série Harry Potter traz a mais longa das aventuras do aprendiz de feiticeiro: tem cerca de 255 mil palavras, pesa 800 gramas e tem tudo para surpreender os leitores. J. K. Rowling chegou a revelar que chorou ao escrever a morte de um dos personagens mais ligados a Harry Potter em A Ordem da Fênix, cujo título faz menção a uma sociedade secreta envolvendo parte dos professores da Escola de Magia. No livro, Harry não é mais um garoto. Aos 15 anos, continua sofrendo a rejeição dos Dursdley, sua estranhíssima família no mundo dos ""trouxas"", ou seja, todos os que não são bruxos. Também continua contando com Rony Weasley e Hermione Granger, seus melhores amigos em Hogwarts, para levar adiante suas investigações e aventuras. Mas o bruxinho começa a sentir e descobrir coisas novas, como o primeiro amor e a sexualidade. Nos volumes anteriores, J. K. Rowling mostrou como Harry foi transformado em celebridade no mundo da magia por ter derrotado, ainda bebê, Voldemort, o todo-poderoso bruxo das trevas que assassinou seus pais. 
 

Neste quinto livro da saga, o protagonista, numa crise típica da adolescência, tem ataques de mau humor com a perseguição da imprensa, que o segue por todos os lugares e chega a inventar declarações que nunca deu. Harry vai enfrentar as investidas de Voldemort sem a proteção de Dumbledore, já que o diretor de Hogwarts é afastado da escola. E vai ser sem a ajuda de seu protetor que o jovem herói enfrentará descobertas sobre a personalidade controversa de seu pai, Tiago Potter, e a já anunciada morte de alguém muito próximo. O desaparecimento de um dos personagens centrais da trama é um dos trunfos de A Ordem da Fênix que, com isto, transforma-se no livro mais dramático da série até agora. Não foi por acaso que J. K. Rowling chegou às lágrimas escrevendo.
"
Dragão Vermelho,Thomas Harris,,"Dragão Vermelho é a história de um agente do FBI, especializado em serial killers. Ele entra em colapso após a caçada a um psicopata extremamente perigoso. Mas seus serviços são novamente requisitados quando um serial killer começa a matar famílias inteiras, quebrando espelhos da casa e colocando os cacos diretamente nos olhos das vitímas. E para resolver esse caso, ele conta, a contra gosto, com a ajuda de um de seus maiores inimigos, o psiquiatra sociopata, o doutor Hannibal Lecter.
"
Orgulho e Preconceito e Zumbis,"Jane Austen, Seth Grahame Smith",Intrínseca,"Orgulho e preconceito e zumbis é uma versão ampliada do popularíssimo romance de Jane Austen, trazendo cenas inéditas com zumbis partindo crânios de pessoas vivas para devorar seus miolos. Na abertura desta história, ficamos sabendo que uma misteriosa praga se abateu sobre o tranquilo vilarejo de Meryton, na Inglaterra – e os mortos estão retornando à vida!
 

Nossa implacável heroína, Elizabeth Bennet, está determinada a eliminar a ameaça zumbi, mas logo sua atenção é desviada pela chegada do altivo e arrogante Sr. Darcy. O que se segue é uma deliciosa comédia de costumes, repleta de civilizados embates entre os dois jovens enamorados – além de batalhas um tanto mais violentas, em cenas nas quais o sangue jorra fartamente.
 

Conseguirá Elizabeth subjugar as crias de Satã? Poderá ela superar os preconceitos sociais da aristocracia local? Complementado com amor, emoção, duelos de espada, canibalismo e milhares de cadáveres em decomposição, Orgulho e preconceito e zumbis transforma uma obra-prima da literatura mundial em algo que você terá vontade de ler.
"
MrDarcy's Diary,Amanda Grange,,"O único lugar em que Mr. Darcy poderia compartilhar seus sentimentos mais íntimos eram as páginas do seu diário. Dividido entre o senso de dever com o nome de sua aristocrática família e a paixão crescente pela plebeia Elizabeth Bennet, tudo o que esse jovem nobre podia fazer era lutar contra tal sentimento.
 

Neto de conde por parte de mãe, Mr. Darcy possuía grande quantidade de terra, enorme receita com os inquilinos e uma grande riqueza herdada. O tamanho de sua propriedade e o seu status social lhe davam, inclusive, o direito de nomear o vigário da paróquia e faziam dele uma pessoa muito influente no condado de Derbyshire, na Inglaterra do início do século XIX. 
 

Disputado pelas damas da sociedade londrina, Mr. Darcy vive sua experiência sentimental singular a partir do encontro com Elizabeth em Meryton, pequena vila do condado de Hertfordshire, no interior do país. Embora naturalmente rígido e teimoso, demonstra que, no íntimo, também é um homem dedicado e carinhoso. 
 

O Diário de Mr. Darcy, portanto, apresenta a história do improvável namoro de Elizabeth Bennet e Fitzwilliam Darcy do ponto de vista dele. Esta graciosa continuação de Orgulho e Preconceito, de Jane Austen, enfoca os conflitos de Mr. Darcy e as dificuldades do seu relutante relacionamento, da rejeição inicial à luta desesperada para conquistar o coração de Elizabeth. Orgulho e Preconceito tem inspirado um grande número de sequências nos dias de hoje, mas O Diário de Mr. Darcy é a mais bem-sucedida das que incidem sobre o rico e orgulhoso cavalheiro.
"
Orgulho e Preconceito,Jane Austen,,"Na Inglaterra do final do século XVIII, as possibilidades de ascensão social eram limitadas para uma mulher sem dote. Elizabeth Bennet, de vinte anos, uma das cinco filhas de um espirituoso, mas imprudente senhor, no entanto, é um novo tipo de heroína, que não precisará de estereótipos femininos para conquistar o nobre Fitzwilliam Darcy e defender suas posições com perfeita lucidez de uma filósofa liberal da província. 
 

Lizzy é uma espécie de Cinderela esclarecida, iluminista, protofeminista. Neste livro, Jane Austen faz também uma crítica à futilidade das mulheres na voz dessa admirável heroína — recompensada, ao final, com uma felicidade que não lhe parecia possível na classe em que nasceu.
"
"Até Mais, e Obrigado Pelos Peixes",Douglas Adams,,"Depois de oito anos vagando pelos mais insondáveis cantos da Galáxia, Arthur Dent está de volta à Terra, e tudo parece estranhamente normal. 
 

Todas as coisas estão em seus devidos lugares – sua casa, seu emprego, seu planeta –, e é justamente por isso que ele começa a desconfiar de que, ou ficou completamente maluco e tudo não passou de uma grande alucinação, ou algo de muito mais estranho do que viagens espaciais a bordo de naves alienígenas poderia estar acontecendo.
 

Em busca de respostas que possam explicar não só como a Terra poderia continuar a existir – já que ela havia sido destruída para dar passagem a uma estrada interplanetária anos antes –, mas também por que tudo estava absolutamente igual ao que era, exceto pelo misterioso desaparecimento dos golfinhos, Arthur começa uma nova jornada.
 

Uma das poucas pessoas que poderiam ajudá-lo a compreender toda a história é Fenchurch, uma linda garota que tem surtos psicóticos desde que teve uma revelação transcendental sobre o porquê de as coisas darem sempre tão errado para os humanos.
 

Decididos a encontrar a verdade, Arthur e sua nova companheira tentam descobrir se a CIA é mesmo a responsável por tudo, produzindo alucinações coletivas ao testar uma nova arma química, embora não acreditem nem um pouco nessa versão.
 

Juntos, Arthur e Fenchurch vivem um grande, profundo e divertido amor, cheio de beleza e poesia, mas repleto das mais inusitadas situações, enquanto procuram o motivo de tanta confusão.
 

Teriam os dois imaginado tudo aquilo? Mas, então, onde estariam os golfinhos? E o que queriam dizer com a mensagem ""Até mais, e obrigado pelos peixes!""? Isso é o que você e Arthur Dent estão prestes a descobrir!
"
O Guia do Mochileiro das Galáxias,Douglas Adams,,"Arthur Dent tem sua casa e seu planeta (sim, a Terra) destruídos em um mesmo dia, e parte pela galáxia com seu amigo Ford, que acaba de revelar que na verdade nasceu em um pequeno planeta perto de Betelgeuse.
 

Considerado um dos maiores clássicos da literatura de ficção científica, este livro vem encantando gerações de leitores ao redor do mundo com seu humor afiado. Este é o primeiro título da famosa série escrita por Douglas Adams, que conta as aventuras espaciais do inglês Arthur Dent e de seu amigo Ford Prefect.
 

A dupla escapa da destruição da Terra pegando carona numa nave alienígena, graças aos conhecimentos de Prefect, um E.T. que vivia disfarçado de ator desempregado enquanto fazia pesquisa de campo para a nova edição do Guia do Mochileiro das Galáxias, o melhor guia de viagens interplanetário. Mestre da sátira, Douglas Adams cria personagens inesquecíveis e situações mirabolantes para debochar da burocracia, dos políticos, da ""alta cultura"" e de diversas instituições atuais. Seu livro, que trata em última instância da busca do sentido da vida, não só diverte como também faz pensar.
"
O Restaurante do Fim do Universo,Douglas Adams,,"O que você pretende fazer quando chegar ao Restaurante do Fim do Universo? Devorar o suculento bife de um boi que se oferece como jantar ou apenas se embriagar com a poderosa Dinamite Pangaláctica, assistindo de camarote ao momento em que tudo se acaba numa explosão fatal? A continuação das incríveis aventuras de Arthur Dent e seus quatro amigos através da galáxia começa a bordo da nave Coração de Ouro, rumo ao restaurante mais próximo.
 

Mal sabem eles que farão uma viagem no tempo, cujo desfecho será simplesmente incrível. O segundo livro da série de Douglas Adams, que começou com o surpreendente ""O Guia do Mochileiro das Galáxias"", mostra os cinco amigos vivendo as mais inesperadas confusões numa história cheia de sátira, ironia e bom humor. 
 

Com seu estilo inteligente e sagaz, Douglas Adams prende o leitor a cada página numa maravilhosa aventura de ficção científica combinada ao mais fino humor britânico, que conquistou fãs no mundo inteiro. Uma verdadeira viagem, em qualquer um dos mais improváveis sentidos.
"
Praticamente Inofensiva,Douglas Adams,,"Os anos mais conturbados como um viajante solitário já haviam passado. Arthur Dent se resignara à nova condição e se acostumara à vida pacata e relativamente feliz como Fazedor de Sanduíches em Lamuella. Conquistara até um certo prestígio junto aos habitantes locais e fazia disso um bom argumento para continuar por lá. 
 

Ao mesmo tempo, Ford Prefect via-se num conflito profissional ocasionado pela repentina venda do Guia do Mochileiro das Galáxias para outra editora. Sem compreender o funcionamento do novo Guia – que passara a se ""comportar"" de forma estranha – e não gostando nem um pouco de seu novo cargo como crítico de restaurantes, Ford se mete em alucinantes roubadas para não sair prejudicado (e para obter algum lucro, é claro).
 

Em outro ponto do Universo, Tricia McMillan havia feito fama intergaláctica como repórter e levava uma rotina razoavelmente satisfatória, até um pequeno planeta chamado Rupert ser descoberto e tudo começar a dar estranhamente errado em sua vida.
 

Espalhados pelos mais insondáveis cantos da Galáxia, Arthur, Ford e Tricia iam tocando suas vidas da melhor forma que podiam, mas tudo se complica novamente quando eles se reencontram. Tentando manter a sanidade e salvar a si mesmos, eles acabam assistindo juntos ao inevitável destino da Terra. Com reviravoltas surpreendentes, Praticamente Inofensiva traz aguardadas respostas, lança novas perguntas e, acima de tudo, faz o leitor lamentar o fim da saga de Dent e seus companheiros.
 

Com um novo olhar sobre seu próprio trabalho, Douglas Adams amadureceu os personagens e a habilidade de criar situações cômicas para criticar a sociedade. Ele se aproveita da trama para discutir as relações de trabalho, as políticas corporativas, as questões éticas da modernidade e as novidades tecnológicas. Mas ainda consegue superar sua capacidade de nos fazer rir de nossas próprias atitudes.
 

Usando e abusando da mesma imaginação ilimitada que demonstra nos livros anteriores, Adams apresenta em Praticamente Inofensiva uma Mistureba Generalizada de Todas as Coisas que fizeram da coleção um grande sucesso ao redor da Borda Ocidental desta Galáxia.
 
"
"A Vida, O Universo e tudo Mais",Douglas Adams,,"Após as loucas aventuras vividas com seus estranhos amigos em ""O Guia do Mochileiro das Galáxias"" e ""O Restaurante no Fim do Universo"", Arthur Dent ficou cinco anos abandonado na Terra Pré-Histórica. Mesmo depois de tanto tempo, ele ainda acordava todas as manhãs com um grito de horror por estar preso àquela monótona e assustadora rotina. Talvez Arthur até preferisse continuar isolado em sua caverna escura, úmida e fedorenta a encarar a próxima aventura para a qual seria forçosamente arrastado: salvar o Universo dos temíveis robôs xenófobos do planeta Krikkit.
 

Este é o terceiro volume da ""trilogia de cinco"" de Douglas Adams, um dos mais cultuados escritores de ficção científica de todos os tempos. Seu humor corrosivo e sua habilidade em criar situações improváveis tornam seus livros indispensáveis para qualquer um que tenha capacidade de debochar de si mesmo.
 

Usando o planeta Krikkit como paródia da nossa sociedade e das guerras raciais, Adams cria uma história divertida, inteligente e repleta dos mais inusitados significados sobre a vida, o universo e tudo mais.
"
Branca dos Mortos e os Sete Zumbis,Abu Fobiya,,"Em 'Branca dos Mortos e os Sete Zumbis', Fábio Yabu resgata a tradição clássica dos contos de fadas dos irmãos Grimm e de Hans Christian Andersen, onde as histórias, mais que um simples entretenimento, servem como lições para moldar o caráter das crianças, na maior parte das vezes por meio do medo. Aqui, não há meias-palavras nem eufemismos. O mundo encantado de Yabu é atormentado, sombrio e com altas doses de tensão sexual. 
 

Os contos seguem o mote de sucessos da televisão atual, como as séries Grimm e Once Upon a Time. Protagonizadas por personagens dos contos de fadas, revelam facetas nunca antes imaginadas de suas personalidades. Além disso, os doze contos que compõem Branca dos Mortos e os sete zumbis formam uma narrativa não-linear que culmina num desfecho aterrorizante. 
 

A obra ainda conta com as ilustrações de Michel Borges, que acompanha o autor desde seus primeiros projetos. As ilustrações de Michel homenageiam os desenhos clássicos dos contos de fadas, com toques sombrios, e complementam a atmosfera sinistra e misteriosa criada por Yabu.
"
Paranorman,Elizabeth C. Kimmel,,"Noman Babcock tem o poder de falar com fantasmas. Até aí, tudo bem. A não ser pela amolação de Alvin, um dos valentões da escola, ele poderia passar a vida sendo sempre o ""esquisitão"" da cidade, e pronto. Mas o que está ruim sempre pode ficar pior. Quando a lenda da maldição lançada por uma bruxa sobre a cidade de Blythe Hollow demonstra ser real e um bando de zumbis sai da tumba para assustar os moradores, Norman descobre que tem outros talentos, e que precisa utilizá-los para salvar milhares de vidas. Com ilustrações divertidas e uma história que conta mais do que você vê no filme!
"
O Fantasma da Ópera,Gaston Leroux,,"É noite de gala na Ópera de Paris. Os Srs. Debienne e Poligny se despedem do cargo de diretores da Ópera com um último recital. Porém, nos corredores do teatro, uma figura misteriosa caminha como uma sombra e desaparece sempre que é vista. No subsolo, o maquinista-chefe é encontrado morto. Esse é o legado que os antigos diretores deixam a Armand Moncharmim e Firman Richard: a perturbadora presença do fantasma da Ópera. 
 

Ao ignorar os caprichos do Fantasma, os novos diretores têm que lidar com uma trágica seqüência de eventos que culmina no desaparecimento repentino da cantora lírica Christine Daaé. É em meio a esse clima de suspense e de terror que somos levados ao labirinto sombrio que é o subsolo da Ópera de Paris.
Texto integral em cuidadosa tradução.
"
13 Porques,Jay Asher,,"Ao voltar da escola, Clay Jensen encontra um misterioso pacote com várias fitas cassetes. Ele ouve as gravações e se dá conta de que foram feitas por uma colega de classe que cometeu suicídio duas semanas antes. Nas fitas, ela explica que 13 motivos a levaram à decisão de se matar. Clay é um deles. Agora ele precisa ouvir tudo até o fim para descobrir como contribuiu para esse trágico acontecimento.
"
Senhora,Jose de Alencar,,"Aurélia Camargo, filha de uma pobre costureira e órfã de pai, apaixonou-se por Fernando Seixas – homem ambicioso - a quem namorou. Este, porém, desfez a relação, movido pela vontade de se casar com uma moça rica, Adelaide Amaral, e pelo dote ao qual teria direito de receber. Passado algum tempo, Aurélia, já órfã de mãe também, recebe uma grande herança do avô e ascende socialmente.Passa, pois, a ser figura de destaque nos eventos da sociedade da época. 
 

Dividida entre o amor e o orgulho ferido, ela encarrega seu tutor e tio, Lemos, de negociar seu casamento com Fernando por um dote de cem contos de réis. O acordo realizado inclui, como uma de suas cláusulas, o desconhecimento da identidade da noiva por parte do contratado até as vésperas do casamento. Ao descobrir que sua noiva é Aurélia, Fernando se sente um felizardo, pois, na verdade, nunca deixara de amá-la. E abre seu coração para ela. 
 

A jovem, porém, na noite de núpcias, deixa claro: ""comprou-o"" para representar o papel de marido que uma mulher na sua posição social deve ter. Dormiram em quartos separados. Aurélia não só não pretende entregar-se a ele, como aproveita as oportunidades que o cotidiano lhe oferece para criticá-lo com ironia. Durante meses, uma relação conjugal marcada pelas ofensas e o sarcasmo se desenvolve entre os dois. 
 
"
A Vingança Veste Prada,Lauren Weisberger,,"Depois abandonar o emprego na Runaway há quase dez anos e se livrar da insuportável Miranda Priestly, Andrea Sachs agora é a bem-sucedida editora de uma revista de luxo sobre casamentos, a Plunge. Ao lado de Emily, antiga colega de trabalho e sua atual melhor amiga, sua vida não poderia estará melhor: além do sucesso do novo empreendimento, ela está prestes a casar com um dos solteiros mais cobiçados de Nova York. Mas uma semana antes do casamento, um fantasma do passado, ou melhor, um diabo, volta a assombrá-la. 
"
O Diabo Veste Prada,Lauren Weisberger,,"Lauren Weisberger trabalhou como assistente da todo-poderosa-amada-e-odiada editora da revista Vogue, Anna Wintour. Assim, qualquer semelhança de O DIABO VESTE PRADA com a realidade não é mera coincidência. Neste irresistí­vel romance, o leitor irá conhecer Andrea Sachs, uma jovem recém-formada que conquista um emprego que deveria deixar roxas de inveja milhares de garotas: o de assistente de Miranda Priestly, reverenciada editora da revista Runway Magazine, a mais bem-sucedida revista de moda do momento. Logo ela percebe, porém, que o emprego pelo qual um milhão de meninas dariam a vida para ter pode simplesmente acabar com a dela.
 

De uma hora para outra, a jovem jornalista se vê num escritório onde as palavras Prada, Armani e Versace são lei e começa a conviver de perto com o fascinante mundo da moda. Fascinante, mas nem tão glamouroso assim. Ela logo percebe que, em lugar de escrever reportagens e editoriais de moda, seu trabalho na Runway será o de atender aos caprichos da chefe: Andrea precisa buscar as roupas de Miranda na lavanderia, ir à caça de baby-sitters para seus filhos, localizar do escritório em Nova York o paradeiro do motorista que deixou Miranda tomando chuva numa esquina de Paris e providenciar rapidamente a solução para pedidos os mais mirabolantes. Miranda é a personificação do pesadelo para Andrea.
"
O Perfume - A História de um Assassino,Patrick Suskind,,"França, século XVIII. O recém-nascido Jean-Baptiste Grenouille é abandonado pela mãe junto a restos de peixes em um mercado parisiense. Rejeitado também pela natureza, que lhe negou o direito de exalar o cheiro característico dos seres humanos, pelas amas-de-leite e por instituições religiosas, o menino Grenouille cresce sobrevivendo ao repúdio, a acidentes e doenças. 
 

Ainda jovem descobre ser dotado de imensa sensibilidade olfativa e parte em busca da essência perfeita, do perfume que lhe falta para seduzir e dominar qualquer pessoa. Nessa busca obsessiva, ele usurpa a essência dos corpos de suas vítimas.
"
A Filha da Feiticeira,Paula Brackston,,"Cada era exige um novo diário. Assim sendo, começa este livro das sombras. Após a morte, em 1628, de toda a sua família, a menina Elizabeth, de 15 anos, consegue abrigo com o bruxo Gideon Masters. Contudo, ele a aprisiona e a inicia na magia, tornando-a um ser eterno. Com a fuga da jovem, anos depois, o tutor a persegue ao longo dos séculos, passando por momentos importantes da história da humanidade.
 

Com traços de romance histórico e elementos de fantasia, A Filha da Feiticeira é uma arrebatadora iniciação no mundo mágico, embora perigoso, da feitiçaria. É impossível esquecer essa heroína forte e independente, que sobrevive a pragas e guerras, na busca por se manter fiel a seus princípios.
 

A autora descreve com destreza épocas e locais distintos ao longo dos tempos, como a Inglaterra de 1628, a Paris de 1917 e os dias atuais. Para isso, Paula Brackston pesquisou durante anos as características das sociedades que lá viviam. No fim, uma certeza: o desejo urgente por uma continuação.
 

Uma saga de inocência, entremeada de fantasia. Uma história repleta de magia e feitiçaria, ideal para aqueles que buscam uma trama fascinante. O livro é maravilhosamente escrito, possui personagens bem-construídos e uma trama que prende o leitor até o fim.
"
Depois da Terra,Peter David,,"Cypher Raige, o líder supremo do Corpo de Guardiões, é herói de uma longa tradição familiar. Por mil anos, desde que o apocalipse ambiental forçou o êxodo da humanidade do planeta Terra, os membros da família Raige foram essenciais para a salvação da espécie humana. 
 

Kitai Raige, seu filho, é um jovem de 13 anos tentando provar que está à altura do pai. Após longo período em serviço militar, Cypher leva Kitai para uma viagem, buscando compensar a ausência. Porém, um asteróide atinge a nave, provocando uma aterrissagem forçada na Terra, o que deixa Cypher com ferimentos graves. 
 

Com a vida do pai em risco, o jovem é obrigado a se aventurar pelo terreno hostil do planeta desconhecido. O relacionamento entre os dois e as habilidades de Kitai como guardião serão postos à prova. 
"
Psicose,Robert Bloch,,"Livro que deu origem ao mais famoso filme de suspense de todos os tempos. Psicose conta a história de Marion Crane, que foge após roubar o dinheiro que foi confiado a ela depositar num banco. Ela então vai parar no Bates Motel, cujo proprietário é Norman Bates, um homem atormentado por sua mãe controladora. Belo suspense, de tirar o fôlego!
"
A Livraria 24 Horas do Mr. Penumbra,Robin Sloan,,"A recessão econômica obriga Clay Jannon, um web-designer desempregado, a aceitar trabalho em uma livraria 24 horas. A livraria do Mr. Penumbra — um homenzinho estranho com cara de gnomo. Tão singular quanto seu proprietário é a livraria onde só um pequeno grupo de clientes aparece. E sempre que aparece é para se enfurnar, junto do proprietário, nos cantos mais obscuros da loja, e apreciar um misterioso conjunto de livros a que Clay Jannon foi proibido de ler. Mas Jannon é curioso…
"
A Garota da Capa Vermelha,Sarah Blakley-Cartwright,,"O corpo de uma garota é descoberto em um campo de trigo. Em sua carne mutilada, marcas de garras. O Lobo havia quebrado a paz. Quando Valerie descobre que sua irmã foi assassinada pela lendária criatura, ela acaba mergulhando de forma irreversível em um grande mistério que vem amaldiçoando sua aldeia por gerações.
 

A revelação vem com Father Solomon: o Lobo habita entre eles — o que torna qualquer pessoa do vilarejo suspeita. Estaria Peter, sua paixão secreta desde a infância, envolvido nos ataques? Ou seria Henry, seu noivo, o Lobisomem que assola as redondezas?
 

Ou, talvez, alguém mais próximo? Enquanto todos estão à caça da besta, Valerie recorre à Avó em busca de ajuda; ela dá à neta uma capa vermelha feita à mão e a orienta através da rede de mentiras, intrigas e decepções que vem controlando o vilarejo por muito tempo. 
 

Descobrirá Valerie o culpado por trás do lobo antes que toda a aldeia seja exterminada? A Garota da Capa Vermelha é uma nova e arrepiante versão do clássico conto. Nela, o final feliz poderá ser difícil de ser encontrado.
"
Feitiço,Sarah Pinborough,,"Cuidado com o que você deseja! Para fãs de Once Upon a Time e Grimm, a série Encantadas prova que contos de fadas são para adultos! Você se lembra da história da Cinderela, com sua linda fada madrinha, suas irmãs feias e um príncipe encantado? Então esqueça essa história, pois nesta releitura de Sarah Pinborough ninguém é o que parece. Em um reino próximo, a realeza anuncia um baile que encontrará uma noiva para o príncipe e parece que o desejo de Cinderela irá ganhar aliados peculiares para ser realizado. 
 

Contudo, não será fácil: ela não é a aposta de sua família para esse casamento real, e sua fada madrinha precisa de um favorzinho em troca de transformar essa pobre coitada em uma diva real. Enquanto isso, parece que Lilith não está muito contente com os últimos acontecimentos e, ao mesmo tempo em que seu reino parece sucumbir ao frio, ela resolve usar sua magia para satisfazer suas vontades. Feitiço é o segundo volume da trilogia iniciada com Veneno, um best-seller inglês clássico e moderno ao mesmo tempo em que recria as personagens mais famosas dos irmãos Grimm com personalidade forte, uma queda por aventuras e, eventualmente, uma sina por encrencas. 
 

Princesas, rainhas, reis, caçadores e criaturas da floresta: não acredite na inocência de nenhum deles! Palavra da editora: Nada é o que parece no segundo volume da saga encantadas! Em Feitiço, Cinderela, com seu desejo desmensurado de fazer parte da realeza, fará qualquer coisa para obter atenção do príncipe. Mas seria mesmo este um final feliz? – Mariana Rolier
"
Poder,Sarah Pinborough,,"Acordar uma princesa pode ser letal. Para fãs de Once Upon a Time e Grimm, a série Encantadas prova que contos de fadas são para adultos! Quando um príncipe mimado é enviado pelo seu pai para tentar desvendar os mistérios de um reino perdido, ninguém imagina os perigos que ele encontrará pela frente! Acompanhado da figura sóbria e sagaz do Caçador e de Petra, uma jovem valente que possui uma ligação muito forte com a floresta, o príncipe acaba encontrando um reino adormecido por uma estranha magia.
 

Todos os seres vivos foram cercados pela densa mata e estão dormindo, em um sono pesado demais, que só poderia vir da magia. Mas que tipo de bruxaria assolaria uma cidade inteira e seus habitantes? E, principalmente, quem faria mal a uma jovem rainha tão boa e tão bela? A não ser, claro, que os olhos não percebam o que um coração cruel pode esconder... Poder é o terceiro volume da trilogia Encantadas, e traz como história principal o conto da Bela Adormecida. 
 

Porém, esqueça os clichês tradicionais e se entregue a uma nova visão dos contos de fadas, em que heróis e anti-heróis precisam se unir para não perecerem à beleza superficial de princesas e rainhas egocêntricas e aos príncipes em busca de aventuras.
 
"
Veneno,Sarah Pinborough,,"Sexy, sarcástico e de prender a respiração! Para os fãs de Once Upon a Time e Grimm, Veneno é a prova de que contos de fadas são para adultos! Não existe “Felizes para sempre”! Você já pensou que uma rainha má tem seus motivos para agir como tal? E que princesas podem ser extremamente mimadas? E que príncipes não são encantados e reinos distantes também têm problemas reais? Então este livro é para você!
 

Em Veneno, a autora Sarah Pinborough reconta a história de Branca de Neve de maneira sarcástica, madura e sem rodeios. Todos os personagens que nos cativaram por anos estão lá, mas seriam eles tão tolos quanto aparentam? Acompanhe a história de Branca de Neve e seu embate com a Rainha, sua madrasta. Você vai entender por que nem todos são só bons ou maus e que talvez o que seria “um final feliz” pode se tornar o pior dos pesadelos! Veneno é o primeiro livro da trilogia Encantadas, e já é um best-seller inglês. Sarah Pinborough coloca os contos de fadas de ponta-cabeça e narra histórias surpreendentes que a Disney jamais ousaria contar.
 

Com um realismo cínico e cenas fortes, o leitor será levado a questionar, finalmente, quem são os mocinhos e quem são os vilões dos livros de fantasia! Palavra da editora: Veneno é um livro tenro como uma maçã envenenada. Belo como os vilões costumam ser. Sarcástico como príncipes mimados. E sem finais felizes porque já estamos bastante crescidinhos! (E, ainda assim, é um dos finais mais chocantes da ficção atual!) Para fãs de séries de TV e histórias picantes e divertidas, Veneno é puro entretenimento! – Mariana Rolier
 
"
